reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
142.055,https://www.alange-soehne.com/us-en/timepieces/zeitwerk/zeitwerk-honeygold-lumen/zeitwerk-honeygold-lumen-in-18-carat-honey-gold-142-055,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2021.0,Zeitwerk,Zeitwerk Honeygold Lumen,in 18-carat HONEYGOLD,Lumen,"Digital, Dress",USD,299500.0,https://img.alange-soehne.com/product-slideshow-product-2/83499aad4edb930da67c97b39a890b8d44544caa.jpg,Germany,Round,['Gold'],,Transparent,41.9 mm,20 mm,,12.6 mm,,,Sapphire,3 ATM,,Black,Arabic numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L043.9,72 hours,,,"['Constant-force escapement', 'power-reserve indicator', 'constant-force escapement']","The zeitwerk honeygold lumen is an incomparable horological composition that combines three exceptional features: a jumping numerals display, luminous numerals and a case made of honeygold. The model version in honeygold features a semi-transparent dial made of sapphire crystal. Limited to 200 pieces, this model is available exclusively in lange boutiques.",
191.021,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1/lange-1-in-18-carat-yellow-gold-191-021,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1,in 18-carat yellow gold,,Dress,USD,31950.0,https://img.alange-soehne.com/product-slideshow-product-2/53dd7e3727c54600b820e604b6591e83e9571669.jpg,Germany,Round,['Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L121.1,72 hours,,,"['Outsize date', 'power-reserve indicator']","It is the classic in the lange collection. With its inimitable dial design and its outsize date, the lange 1 inspired the entire watch industry with fresh impetus. The model version in yellow gold features an ivory argente-coloured dial crafted from solid silver.",
330.032 E,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-annual-calendar/saxonia-annual-calendar-in-18-carat-pink-gold-330-032,,A. Lange & Söhne,,Saxonia,Saxonia Annual Calendar,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/2fd13d48d8bb8c44442dd98ad61e2b24d3cf8683.jpg,Germany,Round,['Rose Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],,Automatic,L085.1,46 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'day-of-week display', 'zero reset']","The saxonia annual calendar combines the time indication and calendar functions on a harmoniously designed, easily legible dial. The model version in pink gold features an argente-coloured dial crafted from solid silver.",
234.026,https://www.alange-soehne.com/us-en/timepieces/1815/1815-updown/1815-updown-in-18-carat-white-gold-234-026,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Up/Down,in 18-carat white gold,,Dress,USD,34500.0,https://img.alange-soehne.com/product-slideshow-product-2/ca64e77104aa225a940d580da5eab583a8df66fb.jpg,Germany,Round,['White Gold'],,Transparent,39 mm,20 mm,,8.7 mm,White Gold,['Silver'],Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L051.2,72 hours,21600 A/h,29.0,['Power-reserve indicator'],"Its upscale and refined appearance puts the focus of this watch on the power-reserve indicator. At lange, its up/down display has a proud tradition. The model version in white gold features an argente-coloured dial crafted from solid silver.",
720.032FE,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-tourbillon-perpetual-calendar/lange-1-tourbillon-perpetual-calendar-in-18-carat-pink-gold-720-032,,A. Lange & Söhne,,Lange 1,Lange 1 Tourbillon Perpetual Calendar,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/92a425c6d22f2822ccadfa2e6295e92b9202630a.jpg,Germany,Round,['Rose Gold'],,Transparent,41.9 mm,22 mm,,12.2 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],,Automatic,L082.1,50 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'tourbillon', 'day-of-week display', 'day/night indicator']",The lange 1 tourbillon perpetual calendar is the most complex member of the lange 1 watch family. It takes a glance through the sapphire-crystal caseback to reveal its tourbillon. The model version in pink gold features an argente-coloured dial crafted from solid silver.,
148.038,https://www.alange-soehne.com/us-en/timepieces/zeitwerk/zeitwerk-date/zeitwerk-date-in-18-carat-white-gold-148-038,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2019.0,Zeitwerk,Zeitwerk Date,in 18-carat white gold,,"Digital, Dress",USD,142427.0,https://img.alange-soehne.com/product-slideshow-product-2/c8bba2b62dd51b1308c5fda6eaa6576478b7b740.jpg,Germany,Round,['White Gold'],,Transparent,44.2 mm,21 mm,,12.3 mm,White Gold,['Silver'],Sapphire,3 ATM,,Gray,Arabic numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L043.8,72 hours,,,"['Constant-force escapement', 'power-reserve indicator', 'constant-force escapement']",The unique horological concept of the zeitwerk is broadened by two useful functions: a peripheral ring for the date display and a pusher that simplifies time-setting. The model version in white gold features a grey dial crafted from solid silver.,
421.056FE,https://www.alange-soehne.com/us-en/timepieces/1815/1815-rattrapante-perpetual-calendar/1815-rattrapante-perpetual-calendar-in-18-carat-white-gold-421-056,,A. Lange & Söhne,2023.0,1815,1815 Rattrapante Perpetual Calendar,in 18-carat white gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/f6aedfb68dfb9bb8222da8ef3decd6fbf7383c68.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,20 mm,,14.7 mm,,,Sapphire,3 ATM,,Rose Gold,Arabic numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L101.1,42 hours,,,"['Power-reserve indicator', 'moon-phase display', 'calendar function', 'chronograph', 'day-of-week display']","The 1815 rattrapante perpetual calendar unites three refined classic complications in a wristwatch: a chronograph with rattrapante function and a perpetual calendar. The white-gold model has a dial made of solid pink gold. Limited to 100 pieces, this model is available exclusively in lange boutiques.",
180.026FE,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange-perpetual-calendar-terraluna/richard-lange-perpetual-calendar-terraluna-in-18-carat-white-gold-180-026,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Richard Lange,"Richard Lange Perpetual Calendar ""Terraluna""",in 18-carat white gold,Terraluna,Dress,USD,154970.0,https://img.alange-soehne.com/product-slideshow-product-2/ddbf9c00acb3a8268ec359a5e7cf02102f198d09.jpg,Germany,Round,['White Gold'],,Transparent,45.5 mm,22 mm,,16.5 mm,,,Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L096.1,336 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'Constant-force escapement', 'day/night indicator', 'power-reserve indicator', 'day-of-week display', 'constant-force escapement']",It is an exceptional timepiece on both sides: the dial reflects the regulator design of high-precision scientific clocks while the movement side features an orbital moon-phase display. The model version in white gold features an argente-coloured dial crafted from solid silver.,
136.025,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-time-zone/lange-1-time-zone-in-950-platinum-136-025,,A. Lange & Söhne,2023.0,Lange 1,Lange 1 Time Zone,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/e40ba492b8e6584ef82079f2f494632ce32bb24a.jpg,Germany,Round,['Platinum'],,Transparent,41.9 mm,22 mm,,10.9 mm,,,Sapphire,3 ATM,,Silver,No numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L141.1,72 hours,,,"['Outsize date', 'power-reserve indicator', 'day/night indicator', 'time-zone function']",The lange 1 time zone is the perfect companion for frequent travellers and cosmopolites. Its dial indicates home time and the current time in a second time zone at a single glance. The model version in platinum features a rhodie-coloured dial crafted from solid silver.,
421.025FE,https://www.alange-soehne.com/us-en/timepieces/1815/1815-rattrapante-perpetual-calendar/1815-rattrapante-perpetual-calendar-in-950-platinum-421-025,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Rattrapante Perpetual Calendar,in 950 platinum,,Dress,USD,186079.5,https://img.alange-soehne.com/product-slideshow-product-2/62ccc3e4d6bf9894e6836f9f79c202085e7642ac.jpg,Germany,Round,['Platinum'],,Transparent,41.9 mm,20 mm,,14.7 mm,,,Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Black'],"['Butterfly Clasp', 'Folding Clasp']",Manual winding,L101.1,42 hours,,,"['Calendar function', 'moon-phase display', 'chronograph', 'day-of-week display', 'power-reserve indicator']",The 1815 rattrapante perpetual calendar unites two refined classic complications in a wristwatch: a chronograph-rattrapante and a perpetual calendar with a moon-phase display. The model version in platinum features an argente-coloured dial crafted from solid silver.,
730.032F,https://www.alange-soehne.com/us-en/timepieces/1815/1815-tourbillon/1815-tourbillon-in-18-carat-pink-gold-730-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Tourbillon,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/79b407c83386e0ae9cbd9e142b949d76a5a0f296.jpg,Germany,Round,['Rose Gold'],,Transparent,39.5 mm,20 mm,,11.1 mm,,,Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Brown'],['Folding Clasp'],Manual winding,L102.1,72 hours,21600 A/h,20.0,"['Tourbillon', 'zero reset']","For the first time, in the 1815 tourbillon, a. Lange & sohne combined the patented stop-seconds mechanism for the tourbillon with the zero-reset time-setting mechanism. The model version in pink gold features an argente-coloured dial crafted from solid silver.",
424.037F,https://www.alange-soehne.com/us-en/timepieces/saxonia/triple-split/triple-split-in-18-carat-pink-gold-424-037,,A. Lange & Söhne,,Saxonia,Triple Split,in 18-carat pink gold,,,USD,,https://img.alange-soehne.com/product-slideshow-product-2/5daff015529606eb99cbf219da1bd47db8adec7f.jpg,Germany,,['Rose Gold'],,Transparent,43.2 mm,22 mm,,15.6 mm,,,Sapphire,3 ATM,,Blue,,"['Leather', 'Alligator']",,,Manual winding,L132.1,55 hours,,,"['Chronograph', 'power-reserve indicator']","The triple split introduces a new dimension in measuring time. It is the worlds first mechanical split-seconds chronograph that allows multi-hour comparative time measurements. The pink-gold model has a blue dial made of solid silver. Limited to 100 pieces, this model is available exclusively in lange boutiques.",
238.032 E,https://www.alange-soehne.com/us-en/timepieces/1815/1815-annual-calendar/1815-annual-calendar-in-18-carat-pink-gold-238-032,,A. Lange & Söhne,,1815,1815 Annual Calendar,in 18-carat pink gold,,Dress,USD,53100.0,https://img.alange-soehne.com/product-slideshow-product-2/b381d425aa693f6d5cdd5441fa638ee1498aeca6.jpg,Germany,Round,['Rose Gold'],,Transparent,40 mm,20 mm,,10.1 mm,,,Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",,,Manual winding,L051.3,72 hours,,,"['Calendar function', 'moon-phase display', 'day-of-week display']","With analogue displays for the date, day of week and month as well as a moon-phase display calculated to remain accurate for 122.6 years, the 1815 annual calendar is an ideal everyday companion. The model version in pink gold features an argente-coloured dial crafted from solid silver.",
142.031,https://www.alange-soehne.com/us-en/timepieces/zeitwerk/zeitwerk/zeitwerk-in-18-carat-pink-gold-142-031,,A. Lange & Söhne,2022.0,Zeitwerk,Zeitwerk,in 18-carat pink gold,,"Digital, Dress",USD,,https://img.alange-soehne.com/product-slideshow-product-2/002af01d78e2b46e88b1ced55889f5a0fc9c3859.jpg,Germany,Round,['Rose Gold'],,Transparent,41.9 mm,20 mm,,12.2 mm,,,Sapphire,3 ATM,,Black,Arabic numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L043.6,72 hours,,,"['Power-reserve indicator', 'constant-force escapement']",The new generation zeitwerk features subtle design changes and a refined manufacture calibre that enables a double power reserve of 72 hours. The model version in pink gold features a black dial crafted from solid silver.,
421.032FE,https://www.alange-soehne.com/us-en/timepieces/1815/1815-rattrapante-perpetual-calendar/1815-rattrapante-perpetual-calendar-in-18-carat-pink-gold-421-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Rattrapante Perpetual Calendar,in 18-carat pink gold,,Dress,USD,160306.0,https://img.alange-soehne.com/product-slideshow-product-2/f8272eb0953e01efb0b286da32585b11b2163bc1.jpg,Germany,Round,['Rose Gold'],,Transparent,41.9 mm,20 mm,,14.7 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Brown'],['Folding Clasp'],Manual winding,L101.1,42 hours,,43.0,"['Calendar function', 'moon-phase display', 'chronograph', 'day-of-week display', 'power-reserve indicator']",The 1815 rattrapante perpetual calendar unites two refined classic complications in a wristwatch: a chronograph-rattrapante and a perpetual calendar with a moon-phase display. The model version in pink gold features an argente-coloured dial crafted from solid silver.,
425.05,https://www.alange-soehne.com/us-en/timepieces/1815/1815-rattrapante-honeygold-homage-to-f-a-lange/1815-rattrapante-honeygold-homage-to-f-a-lange-in-18-carat-honey-gold-425-050,,A. Lange & Söhne,,1815,1815 Rattrapante Honeygold Homage To F. A. Lange,in 18-carat HONEYGOLD,Homage to F. A. Lange,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/7734a06c0f2ed5daaa700f4c757101454b1bc23d.jpg,Germany,Round,['Gold'],,Transparent,41.2 mm,20 mm,,12.6 mm,,,Sapphire,3 ATM,,Black,Arabic numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L101.2,58 hours,,,['Chronograph'],"The 1815 rattrapante is a. Lange & sohnes first pure split-seconds chronograph. It is based on classic design and construction concepts. The model version in honeygold features a black dial crafted from solid silver. Limited to 100 pieces, this model of the ""homage to f. A. Lange"" edition is available exclusively in lange boutiques.",
201.033,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-thin/saxonia-thin-in-18-carat-pink-gold-201-033,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Thin,in 18-carat pink gold,,Dress,USD,23500.0,https://img.alange-soehne.com/product-slideshow-product-2/75a1af1a01eefa19f5f08e6cecf7ec4847404957.jpg,Germany,Round,['Rose Gold'],,Transparent,37 mm,19 mm,,5.9 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L093.1,72 hours,,,[],The saxonia thin is the manufactorys flattest watch so far. It focuses on the essential functions of a mechanical timepiece: the display of hours and minutes. The model version in pink gold features an argente-coloured dial crafted from solid silver.,
345.056 E,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-perpetual-calendar/lange-1-perpetual-calendar-in-18-carat-white-gold-345-056,,A. Lange & Söhne,,Lange 1,Lange 1 Perpetual Calendar,in 18-carat white gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/e530093ab2053299300f40794cfdb50a5119e5aa.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,22 mm,,12.1 mm,,,Sapphire,3 ATM,,Rose Gold,,"['Leather', 'Alligator']",['Brown'],,Automatic,L021.3,50 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'day/night indicator', 'day-of-week display']","With its precisely jumping calendar displays and the peripheral month ring, the lange 1 perpetual calendar delivers unique mechanical and conceptual solutions. The white-gold model has a dial made of pink gold. Limited to 150 pieces, this model is available exclusively in lange boutiques.",
380.027,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-automatic/saxonia-automatic-in-950-platinum-380-027,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Automatic,in 18-carat white gold,,Dress,USD,20137.5,https://img.alange-soehne.com/product-slideshow-product-2/dfadd7c726c63e33c80499d4964e8b03ce652757.jpg,Germany,Round,['White Gold'],,Transparent,38.5 mm,20 mm,,7.8 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Black'],['Buckle'],Automatic,L086.1,72 hours,,,['Small seconds'],"With its case height of only 7.8 millimetres, the saxonia automatic is the thinnest self-winding watch ever crafted by a. Lange & sohne. The model version in white gold features an argente-coloured dial crafted from solid silver.",
234.032,https://www.alange-soehne.com/us-en/timepieces/1815/1815-updown/1815-updown-in-18-carat-pink-gold-234-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Up/Down,in 18-carat pink gold,,Dress,USD,34500.0,https://img.alange-soehne.com/product-slideshow-product-2/094b2151cb2d8dc3157adb4a70f412f237048851.jpg,Germany,Round,['Rose Gold'],,Transparent,39 mm,20 mm,,8.7 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L051.2,72 hours,21600 A/h,29.0,['Power-reserve indicator'],"Its upscale and refined appearance puts the focus of this watch on the power-reserve indicator. At lange, its up/down display has a proud tradition. The model version in pink gold features an argente-coloured dial crafted from solid silver.",
384.029,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-moon-phase/saxonia-moon-phase-in-18-carat-white-gold-384-029,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Moon Phase,in 18-carat white gold,,Dress,USD,33875.0,https://img.alange-soehne.com/product-slideshow-product-2/e5baf3c23249f1b4808474a34ef1680eb217719e.jpg,Germany,Round,['White Gold'],,Transparent,40 mm,20 mm,,9.8 mm,White Gold,['Silver'],Sapphire,3 ATM,,Black,No numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Automatic,L086.5,72 hours,21600 A/h,40.0,"['Outsize date', 'moon-phase display']","Featuring the lange outsize date and a precise moon-phase display, the saxonia moon phase combines two classic complications. The model version in white gold features a black dial crafted from solid silver.",
